id,name,category,price,stock
1,Wireless Mouse,Electronics,1980,45
2,Gaming Keyboard,Electronics,7480,20
3,USB-C Cable,Electronics,880,120
4,Noise Cancelling Headphones,Electronics,15980,15
5,Stainless Coffee Mug,Home,1280,55
6,Electric Kettle,Home,4380,18
7,Organic Green Tea,Food,980,34
8,Protein Bar,Food,250,200
9,LED Desk Lamp,Home,2980,25
10,Running Shoes,Sports,6980,12
11,Yoga Mat,Sports,2180,40
12,Baseball Cap,Fashion,1580,70
13,Cotton T-Shirt,Fashion,980,150
14,Backpack,Fashion,3480,22
15,Smartphone Stand,Electronics,680,80
